ta_location_id,hotel_name,amenity
301411,Mandarin Oriental Bangkok,Refrigerator in room
301411,Mandarin Oriental Bangkok,Minibar
301411,Mandarin Oriental Bangkok,Conference Facilities
301411,Mandarin Oriental Bangkok,Babysitting
301411,Mandarin Oriental Bangkok,Non-smoking hotel
301411,Mandarin Oriental Bangkok,Safe
301411,Mandarin Oriental Bangkok,Heated pool
301411,Mandarin Oriental Bangkok,Flatscreen TV
301411,Mandarin Oriental Bangkok,Breakfast Buffet
301411,Mandarin Oriental Bangkok,Poolside Bar
301411,Mandarin Oriental Bangkok,Private Balcony
301411,Mandarin Oriental Bangkok,Butler Service
301411,Mandarin Oriental Bangkok,Outdoor pool
301411,Mandarin Oriental Bangkok,Breakfast Available
301411,Mandarin Oriental Bangkok,Parking
301411,Mandarin Oriental Bangkok,Facilities for Disabled Guests
301411,Mandarin Oriental Bangkok,Housekeeping
301411,Mandarin Oriental Bangkok,Sauna
301411,Mandarin Oriental Bangkok,Additional Bathroom
301411,Mandarin Oriental Bangkok,Allergy-free Room
301411,Mandarin Oriental Bangkok,Baggage Storage
301411,Mandarin Oriental Bangkok,Bathrobes
301411,Mandarin Oriental Bangkok,Blackout Curtains
301411,Mandarin Oriental Bangkok,Breakfast in the Room
301411,Mandarin Oriental Bangkok,Bridal Suite
301411,Mandarin Oriental Bangkok,Car Hire
301411,Mandarin Oriental Bangkok,Chinese
301411,Mandarin Oriental Bangkok,Complimentary Tea
301411,Mandarin Oriental Bangkok,Couples Massage
301411,Mandarin Oriental Bangkok,Currency Exchange
301411,Mandarin Oriental Bangkok,Doorperson
301411,Mandarin Oriental Bangkok,English
301411,Mandarin Oriental Bangkok,Evening Entertainment
301411,Mandarin Oriental Bangkok,Facial Treatments
301411,Mandarin Oriental Bangkok,Fitness Classes
301411,Mandarin Oriental Bangkok,Fitness / Spa Locker Rooms
301411,Mandarin Oriental Bangkok,Foot Massage
301411,Mandarin Oriental Bangkok,Complimentary Instant Coffee
301411,Mandarin Oriental Bangkok,24-Hour Front Desk
301411,Mandarin Oriental Bangkok,Full Body Massage
301411,Mandarin Oriental Bangkok,Game Room
